PCA1,PCA2,PCA3,active_hand
18.458979,-0.7657069,3.9969907,1
8.709219,-2.8129818,-8.746081,0
18.482513,-0.79195935,3.9667606,1
8.711296,-2.8113399,-8.747997,0
18.454,-0.77381665,3.9838173,1
8.723669,-2.7981894,-8.76052,0
18.423553,-0.78763986,3.9630373,1
8.71002,-2.8120282,-8.746876,0
18.463223,-0.7806215,3.9781792,1
8.727931,-2.7937691,-8.764597,0
18.513275,-0.82375735,3.9352155,1
8.720546,-2.8010578,-8.756899,0
18.494745,-0.7903697,3.9687815,1
8.738386,-2.7823884,-8.774607,0
18.508762,-0.8248626,3.9305944,1
8.740286,-2.7810776,-8.775969,0
18.512577,-0.79982835,3.96134,1
8.7122345,-2.8078005,-8.748437,0
18.510527,-0.78606814,3.9760382,1
8.747881,-2.7711108,-8.783908,0
18.531637,-0.7715806,3.9903402,1
8.743496,-2.7765157,-8.779895,0
8.737167,-2.784134,-8.773602,0
18.515701,-0.7588096,4.007499,1
8.773535,-2.7426417,-8.809353,0
19.6882,6.0079455,2.8092768,1
8.77775,-2.735908,-8.812844,0
19.707151,5.996366,2.789101,1
8.7929735,-2.7226465,-8.828799,0
19.720585,6.002049,2.7741463,1
8.7905,-2.726915,-8.82654,0
19.796509,5.994262,2.6929307,1
8.74937,-2.7716658,-8.785787,0
19.799215,5.988087,2.6897101,1
8.769424,-2.7473464,-8.805284,0
19.85104,6.028391,2.6376798,1
8.746325,-2.772209,-8.7824135,0
19.812078,5.999395,2.6767225,1
8.752899,-2.7668216,-8.789167,0
19.811745,5.9894676,2.6767108,1
8.748069,-2.7710238,-8.784406,0
19.825272,5.9766064,2.6632473,1
8.748413,-2.7715979,-8.784854,0
19.828049,6.002593,2.6601288,1
8.76426,-2.7577627,-8.800694,0
19.829899,6.0016894,2.6586733,1
8.743903,-2.7770345,-8.780297,0
19.848112,6.024559,2.64096,1
12.012944,0.24406065,-5.7210364,0
12.20283,-0.46411827,-10.683539,1
12.10809,0.3008021,-5.642039,1
11.665609,-0.6886645,-10.875754,0
12.1212015,0.30138564,-5.640072,1
11.64991,-0.7008372,-10.888087,0
12.10793,0.30161616,-5.6412673,1
11.707918,-0.6685453,-10.863217,0
12.207929,0.20855922,-5.7373085,1
11.639777,-0.6941747,-10.875786,0
12.204756,0.20547086,-5.7406664,1
11.6193905,-0.7203841,-10.903816,0
12.283899,0.1198074,-5.827737,1
11.624246,-0.71218276,-10.894638,0
12.2680435,0.13606718,-5.8121815,1
11.612217,-0.7196763,-10.901028,0
12.230883,0.16968703,-5.781545,1
11.616315,-0.7179666,-10.899971,0
12.246397,0.15559955,-5.795262,1
11.614245,-0.7204593,-10.902514,0
12.240088,0.16901624,-5.781925,1
11.625573,-0.71136653,-10.894222,0
12.218241,0.18000783,-5.772125,1
11.633371,-0.70822704,-10.892737,0
4.5094614,7.1126957,-13.158861,1
11.627471,-0.7105885,-10.894253,0
4.4909325,7.1352696,-13.1814995,1
11.598784,-0.7324185,-10.912677,0
4.486646,7.136836,-13.183273,1
11.6015625,-0.73288274,-10.914815,0
4.21749,7.4078317,-13.450985,1
11.663915,-0.6877779,-10.875061,0
4.1642356,7.4579654,-13.500407,1
11.665243,-0.6861983,-10.873015,0
4.124206,7.4971952,-13.539117,1
11.643285,-0.70688623,-10.893305,0
4.12041,7.469609,-13.511869,1
11.683826,-0.6706073,-10.861508,0
4.0914736,7.496595,-13.538611,1
11.679183,-0.67292297,-10.859767,0
4.020758,7.5192327,-13.561266,1
11.685845,-0.67689073,-10.866138,0
4.0374074,7.5247664,-13.566588,1
