0,1,2,3,active_hand,class_numeric
1.0329763,0.11855463,6.3644037,3.745393,1,0
1.7796631,0.93576264,-2.9909768,2.044286,0,0
1.0030428,0.07354608,6.3257313,3.7905388,1,0
1.7735305,0.92969143,-2.9962277,2.038279,0,0
1.0107213,0.08894806,6.341062,3.7735872,1,0
1.7878255,0.9439966,-2.9914293,2.0528717,0,0
1.0044765,0.1073242,6.337883,3.7550786,1,0
1.7640972,0.92063373,-3.005829,2.0290036,0,0
1.0053407,0.09519886,6.3386955,3.7666333,1,0
1.7607921,0.9171479,-3.010379,2.0254648,0,0
1.0561383,0.24062522,6.4026756,3.6115038,1,0
1.7899395,0.9463829,-2.9805856,2.0536761,0,0
1.0500132,0.13916358,6.388311,3.721834,1,0
1.7886193,0.94546676,-2.980593,2.053272,0,0
1.0932074,0.20377983,6.43783,3.6731536,1,0
1.7871904,0.94355625,-2.982909,2.051261,0,0
1.0756932,0.20302342,6.4242682,3.65737,1,0
1.7883161,0.944896,-2.9828463,2.0518916,0,0
1.0657626,0.18356043,6.409295,3.677247,1,0
1.7897274,0.94490683,-2.9828956,2.052088,0,0
1.1021181,0.3012012,6.4445176,3.5444748,1,0
1.7931526,0.94963974,-2.9779835,2.0564885,0,0
1.7967249,0.9534491,-2.975796,2.058821,0,0
1.0994394,0.35589606,6.442726,3.4805396,1,0
1.7965195,0.9543348,-2.9685442,2.062688,0,1
16.059944,0.4506589,7.7867126,3.5707977,1,1
1.7930955,0.95129037,-2.9711082,2.059611,0,1
16.004116,0.5046031,7.840149,3.5168,1,1
1.7977388,0.9637058,-2.952056,2.0698104,0,1
16.00936,0.50054145,7.836394,3.5209,1,1
1.8040352,0.9603788,-2.9604409,2.0705247,0,1
16.033335,0.4775083,7.813701,3.5439274,1,1
1.804696,0.96162856,-2.9615936,2.0706544,0,1
16.101465,0.41565365,7.7540555,3.6059663,1,1
1.8418862,0.99962693,-2.9275963,2.1055114,0,1
16.13797,0.38067567,7.719559,3.6409724,1,1
1.8237646,0.97879905,-2.9416068,2.0903447,0,1
16.05929,0.45448002,7.791403,3.5670264,1,1
1.8354249,0.96043414,-2.9575076,2.0861623,0,1
16.116034,0.398973,7.736273,3.622552,1,1
1.82715,0.9810503,-2.9395723,2.093016,0,1
16.038618,0.48301452,7.8198786,3.538774,1,1
1.8130685,0.96709293,-2.9485977,2.0821567,0,1
16.028606,0.4830808,7.8194222,3.5383687,1,1
1.8163859,0.96937287,-2.952433,2.0810797,0,1
16.087812,0.42684585,7.764331,3.594672,1,1
1.7982353,0.9505272,-2.968634,2.064064,0,1
16.038591,0.47383904,7.810468,3.5476096,1,1
-2.3864522,-5.303602,9.320099,-5.4510818,0,0
1.9535428,4.4348373,-3.0123472,-8.509299,1,0
-2.497561,-5.365951,9.285345,-5.4410944,1,0
1.9560716,4.44093,-3.005045,-8.505274,0,0
-2.4477863,-5.3188186,9.311702,-5.454807,1,0
1.9582591,4.4348226,-3.0106568,-8.5086975,0,0
-2.3800633,-5.2821817,9.316957,-5.4514794,1,0
1.9555357,4.445122,-3.0035064,-8.502556,0,0
-2.4449608,-5.325509,9.337109,-5.4949985,1,0
1.9587802,4.4568744,-2.990102,-8.497755,0,0
-2.4608488,-5.3614507,9.329868,-5.49938,1,0
1.9634886,4.4571323,-2.9901357,-8.498283,0,0
-2.7360506,-5.3351493,9.2296295,-5.4063983,1,0
1.9516892,4.4246187,-3.0320547,-8.516316,0,0
-2.7497115,-5.268879,9.150652,-5.329576,1,0
1.9141197,4.371095,-3.0998693,-8.539104,0,0
-2.759895,-5.269998,9.151965,-5.3308783,1,0
1.9068052,4.3518476,-3.1171734,-8.586059,0,0
-2.7691104,-5.264624,9.142147,-5.3199105,1,0
1.9026438,4.3846526,-3.0798633,-8.550012,0,0
-2.7486184,-5.27293,9.155587,-5.3336635,1,0
1.9289598,4.3596835,-3.1145134,-8.546436,0,0
-2.745662,-5.2755213,9.161708,-5.338589,1,0
1.9484056,4.4083414,-3.0487626,-8.524439,0,0
-1.9938378,-5.215161,9.481355,-5.5354705,1,1
1.8992401,4.2190385,-3.292014,-8.579241,0,1
-1.9760861,-5.23369,9.509863,-5.551521,1,1
1.8928928,4.2247686,-3.2803197,-8.585038,0,1
-2.0776992,-5.2450747,9.460617,-5.5315638,1,1
1.9050993,4.2464604,-3.251242,-8.5764885,0,1
-1.8777682,-5.1828094,9.516771,-5.542376,1,1
1.8670311,4.1687455,-3.3531485,-8.605121,0,1
-1.8527699,-5.1801205,9.547336,-5.5552545,1,1
1.8825151,4.1971874,-3.3179965,-8.59243,0,1
